"","iterations","alpha","beta","g","r","gamma","sigma","distribution","variance","icc"
"1",300,1,2,4,231,1,0.333333333333333,"poisson",0.00813654210156346,0.9
"2",300,1,2,4,231,1,1,"poisson",0.00745804639964914,0.5
"3",300,1,2,4,231,1,3,"poisson",0.00700236649189619,0.1
"4",300,1,2,6,147,1,0.333333333333333,"poisson",0.00861188703697192,0.9
"5",300,1,2,6,147,1,1,"poisson",0.00847085333275039,0.5
"6",300,1,2,6,147,1,3,"poisson",0.00870514855260046,0.1
"7",300,1,2,8,106,1,0.333333333333333,"poisson",0.00852322641936154,0.9
"8",300,1,2,8,106,1,1,"poisson",0.0080374870714953,0.5
"9",300,1,2,8,106,1,3,"poisson",0.00905480827948384,0.1
"10",300,1,2,10,81,1,0.333333333333333,"poisson",0.00768586546636336,0.9
"11",300,1,2,10,81,1,1,"poisson",0.00969098312924811,0.5
"12",300,1,2,10,81,1,3,"poisson",0.0101151605093929,0.1
"13",300,1,2,12,64,1,0.333333333333333,"poisson",0.00842626856317509,0.9
"14",300,1,2,12,64,1,1,"poisson",0.00779719575043354,0.5
"15",300,1,2,12,64,1,3,"poisson",0.00928518850978906,0.1
"16",300,1,2,14,52,1,0.333333333333333,"poisson",0.0098233238874717,0.9
"17",300,1,2,14,52,1,1,"poisson",0.00869967462652178,0.5
"18",300,1,2,14,52,1,3,"poisson",0.0110709640694484,0.1
"19",300,1,2,16,43,1,0.333333333333333,"poisson",0.00992301479709312,0.9
"20",300,1,2,16,43,1,1,"poisson",0.0103802030621115,0.5
"21",300,1,2,16,43,1,3,"poisson",0.0117536498775416,0.1
"22",300,1,2,18,36,1,0.333333333333333,"poisson",0.010574818292262,0.9
"23",300,1,2,18,36,1,1,"poisson",0.0110009996910938,0.5
"24",300,1,2,18,36,1,3,"poisson",0.0109329631017889,0.1
"25",300,1,2,20,31,1,0.333333333333333,"poisson",0.0107262236676902,0.9
"26",300,1,2,20,31,1,1,"poisson",0.0115734372475987,0.5
"27",300,1,2,20,31,1,3,"poisson",0.0106951697025624,0.1
"28",300,1,2,22,26,1,0.333333333333333,"poisson",0.0100439238036768,0.9
"29",300,1,2,22,26,1,1,"poisson",0.011563729838896,0.5
"30",300,1,2,22,26,1,3,"poisson",0.0128676944364628,0.1
"31",300,1,2,24,22,1,0.333333333333333,"poisson",0.0120450787380197,0.9
"32",300,1,2,24,22,1,1,"poisson",0.0136205727681057,0.5
"33",300,1,2,24,22,1,3,"poisson",0.0124156894125924,0.1
"34",300,1,2,26,19,1,0.333333333333333,"poisson",0.0144589552290109,0.9
"35",300,1,2,26,19,1,1,"poisson",0.0136996878861199,0.5
"36",300,1,2,26,19,1,3,"poisson",0.0129056957755565,0.1
"37",300,1,2,28,16,1,0.333333333333333,"poisson",0.016879512728937,0.9
"38",300,1,2,28,16,1,1,"poisson",0.0148373005961409,0.5
"39",300,1,2,28,16,1,3,"poisson",0.0147437482134169,0.1
"40",300,1,2,30,14,1,0.333333333333333,"poisson",0.0170255084742094,0.9
"41",300,1,2,30,14,1,1,"poisson",0.0134251469314893,0.5
"42",300,1,2,30,14,1,3,"poisson",0.0173027772743134,0.1
"43",300,1,2,32,12,1,0.333333333333333,"poisson",0.017849782021585,0.9
"44",300,1,2,32,12,1,1,"poisson",0.0160878809290571,0.5
"45",300,1,2,32,12,1,3,"poisson",0.016810728831974,0.1
"46",300,1,2,34,10,1,0.333333333333333,"poisson",0.0182838019704376,0.9
"47",300,1,2,34,10,1,1,"poisson",0.0184412922874117,0.5
"48",300,1,2,34,10,1,3,"poisson",0.0190155130229391,0.1
"49",300,1,2,36,8,1,0.333333333333333,"poisson",0.023384559316152,0.9
"50",300,1,2,36,8,1,1,"poisson",0.022819009487722,0.5
"51",300,1,2,36,8,1,3,"poisson",0.0212942604661273,0.1
"52",300,1,2,38,7,1,0.333333333333333,"poisson",0.0234314938964733,0.9
"53",300,1,2,38,7,1,1,"poisson",0.0244941373237126,0.5
"54",300,1,2,38,7,1,3,"poisson",0.0244946539422734,0.1
"55",300,1,2,40,6,1,0.333333333333333,"poisson",0.0266759291187866,0.9
"56",300,1,2,40,6,1,1,"poisson",0.0243285301831695,0.5
"57",300,1,2,40,6,1,3,"poisson",0.0220217398938188,0.1
"58",300,1,2,42,4,1,0.333333333333333,"poisson",0.0348148906232968,0.9
"59",300,1,2,42,4,1,1,"poisson",0.033436728174669,0.5
"60",300,1,2,42,4,1,3,"poisson",0.0346986119747705,0.1
"61",300,1,2,44,3,1,0.333333333333333,"poisson",0.0476037018068748,0.9
"62",300,1,2,44,3,1,1,"poisson",0.047976181198315,0.5
"63",300,1,2,44,3,1,3,"poisson",0.0411156193543586,0.1
"64",300,1,2,46,2,1,0.333333333333333,"poisson",0.0573498646391018,0.9
"65",300,1,2,46,2,1,1,"poisson",0.0628815158310464,0.5
"66",300,1,2,46,2,1,3,"poisson",0.0625630220478904,0.1
"67",300,1,2,48,1,1,0.333333333333333,"poisson",0.138735674034328,0.9
"68",300,1,2,48,1,1,1,"poisson",0.120608464313442,0.5
"69",300,1,2,48,1,1,3,"poisson",0.126202406455449,0.1
"70",300,1,2,50,1,1,0.333333333333333,"poisson",0.153718696292981,0.9
"71",300,1,2,50,1,1,1,"poisson",0.133064452442849,0.5
"72",300,1,2,50,1,1,3,"poisson",0.131106755957819,0.1
